machine_identifier,start_ts,end_ts,duration_in_s,identifier,station,station_instance,subsystem_instance,code
innovative_cheese_machine,2022-05-06T17:16:45.452Z,2022-05-06T17:17:25.650Z,40.198,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T17:17:39.576Z,2022-05-06T17:17:49.753Z,10.177,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T17:18:04.261Z,2022-05-06T17:25:53.784Z,469.523,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T17:26:51.924Z,2022-05-06T17:28:58.905Z,126.981,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T17:29:13.417Z,2022-05-06T17:33:50.419Z,277.002,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T17:34:50.832Z,2022-05-06T17:36:04.228Z,73.396,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T17:36:18.739Z,2022-05-06T17:41:34.200Z,315.461,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T17:41:48.513Z,2022-05-06T17:42:24.401Z,35.888,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T17:42:54.726Z,2022-05-06T17:43:41.922Z,47.196,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T17:44:03.146Z,2022-05-06T17:45:20.980Z,77.834,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T17:45:34.606Z,2022-05-06T18:16:20.721Z,1846.115,20.0.625.0.2300.0.0.0,20,0,0,2300
innovative_cheese_machine,2022-05-06T18:21:25.598Z,2022-05-06T18:22:01.110Z,35.512,20.0.625.0.2300.0.0.0,20,0,0,2300
